Job_Satisfaction,Uses_AI,Salary,TimeSearching_Min,Years_Exp,Is_Remote
8,0,112101,NA,11,1
7,1,134000,NA,25,0
7,1,85000,NA,3,0
8,0,37441,NA,7,1
6,0,34609,NA,3,1
10,1,88073,NA,15,0
8,0,32954,NA,2,0
7,1,35545,NA,2,0
10,1,10000,NA,4,1
7,1,1500,NA,2,1
8,0,100000,NA,17,0
5,1,1889,NA,1,0
6,1,45655,NA,7,1
7,1,19333,NA,2,0
8,1,174000,NA,25,1
7,0,500000,NA,10,0
8,1,26852,NA,10,0
7,0,250,NA,8,0
7,0,119000,NA,12,0
7,1,183493,NA,24,0
4,1,33613,NA,5,0
4,1,33296,NA,15,0
5,1,80000,NA,30,0
6,1,220000,NA,18,1
10,0,100000,NA,30,1
6,0,51555,NA,7,1
2,1,19333,NA,3,0
9,0,170000,NA,9,1
6,0,77332,NA,24,1
2,0,58154,NA,4,0
3,1,126000,NA,8,0
8,0,80000,NA,7,0
8,1,23454,NA,9,0
5,1,8614,NA,5,0
6,0,49493,NA,4,0
10,1,83777,NA,15,0
3,0,129602,NA,17,0
8,0,93642,NA,23,0
6,1,66162,NA,7,0
9,1,53703,NA,18,0
1,0,66826,NA,11,0
6,0,250000,NA,10,0
8,0,3465,NA,9,0
9,0,75159,NA,5,0
7,1,69814,NA,7,0
5,1,90000,NA,20,1
8,0,130000,NA,7,1
4,1,44586,NA,2,0
10,0,250000,NA,10,1
8,0,91809,NA,10,1
7,1,70029,NA,25,1
6,1,155000,NA,7,1
6,0,2468,NA,14,0
8,1,122559,NA,8,0
8,1,184000,NA,22,1
7,1,87429,NA,23,0
8,0,4307,NA,6,0
8,1,150000,NA,5,1
7,1,90000,NA,9,1
9,1,130000,NA,28,1
8,1,101910,NA,7,1
10,1,79481,NA,12,1
7,1,17945,NA,2,0
7,0,46607,NA,8,0
9,1,4843,NA,6,1
8,1,63600,NA,6,1
6,1,69599,NA,17,0
8,1,75000,NA,15,0
8,0,63694,NA,6,0
1,0,80000,NA,8,0
9,0,4937,NA,0.5,1
6,1,82384,NA,19,0
8,0,130000,NA,19,1
8,1,132612,NA,23,1
7,1,72000,NA,15,1
7,0,47059,NA,5,1
5,1,25532,NA,8,1
7,0,15876,NA,20,1
6,1,73000,NA,3,0
6,1,28458,NA,3,1
6,0,110000,NA,34,0
9,0,100000,NA,1,0
10,0,26891,NA,32,1
3,0,155000,NA,7,1
5,0,64444,NA,26,0
6,1,2871,NA,5,0
7,0,32400,NA,5,1
4,1,145386,NA,12,0
6,0,30074,NA,29,1
6,0,250000,NA,12,0
9,1,148648,NA,20,0
10,0,201000,NA,14,1
8,0,54000,NA,11,0
7,1,45000,NA,7,1
8,0,96937,NA,21,1
7,1,96666,NA,16,0
10,1,40061,NA,3,1
7,1,70888,NA,7,1
9,1,140000,NA,13,1
1,0,37592,NA,6,0
7,0,117197,NA,17,0
10,1,175000,NA,22,0
7,0,123000,NA,3,0
8,0,98089,NA,36,1
0,1,22409,NA,22,0
9,1,250000,NA,21,1
4,0,31483,NA,9,1
3,0,160000,NA,10,1
6,1,64444,NA,6,1
8,1,139271,NA,8,1
7,1,45111,NA,4,1
6,1,152376,NA,4,0
7,0,53703,NA,6,0
9,0,50400,NA,10,1
8,0,69814,NA,22,0
1,1,207000,NA,10,1
8,0,2616,NA,4,0
8,1,122443,NA,14,1
8,1,91295,NA,10,1
10,1,26852,NA,7,0
8,1,53703,NA,6,0
8,0,130000,NA,2,0
10,0,1756,NA,10,0
10,0,203821,NA,25,1
8,1,160000,NA,6,1
8,1,69959,NA,4,0
8,1,10794,NA,2,0
2,1,5400,NA,0.5,0
9,0,95541,NA,11,0
5,1,148000,NA,4,0
10,0,81663,NA,8,0
10,1,52800,NA,12,1
8,1,50955,NA,18,0
7,0,7178,NA,4,0
6,0,2470,NA,4,0
7,1,105000,NA,1,0
7,1,137000,NA,6,0
7,0,10767,NA,5,0
6,0,18462,NA,27,0
7,0,150000,NA,10,1
9,0,11400,NA,2,0
4,1,400000,NA,13,0
6,1,120000,NA,7,0
7,1,20577,NA,7,1
7,0,87500,NA,8,0
10,1,70000,NA,7,0
6,1,142179,NA,12,0
9,1,160000,NA,13,1
6,1,126000,NA,17,0
8,0,152000,NA,13,1
9,1,363465,NA,12,1
8,1,8010,NA,1,0
6,0,46387,NA,22,1
8,0,125859,NA,6,1
10,1,640,NA,1,0
9,0,77332,NA,12,0
7,0,105000,NA,14,1
8,0,165000,NA,12,0
9,0,116309,NA,26,0
7,1,330000,NA,8,0
7,1,50955,NA,4,0
9,1,165000,NA,23,1
6,1,125000,NA,2,0
7,1,200000,NA,9,1
5,0,59872,NA,25,0
5,1,1800,NA,2,1
8,1,130000,NA,10,1
5,1,53606,NA,6,1
2,0,102000,NA,3,1
8,1,53171,NA,21,0
8,1,65000,NA,3,0
2,0,44586,NA,5,1
9,1,192000,NA,12,0
3,1,42962,NA,3,0
8,0,254776,NA,30,0
8,0,16807,NA,20,1
7,1,69814,NA,4,0
8,0,76258,NA,27,0
7,0,102000,NA,2,0
8,1,67129,NA,3,1
9,1,163000,NA,21,1
7,1,72777,NA,4,1
9,1,30512,NA,16,0
7,1,127,NA,1,0
7,1,115999,NA,12,0
9,0,102907,NA,4,1
7,0,80555,NA,27,0
8,1,86401,NA,7,0
8,0,180000,NA,10,1
8,1,171850,NA,25,1
8,1,21481,NA,10,0
7,1,240000,NA,16,1
7,1,115000,NA,8,1
9,1,70000,NA,6,1
10,1,53703,NA,1,0
9,0,69814,NA,32,0
7,1,140000,NA,5,0
6,1,102500,NA,5,1
10,1,108000,NA,11,0
8,0,133757,NA,25,0
10,1,75601,NA,15,0
8,1,49972,NA,4,1
7,0,3279,NA,16,1
3,0,64444,NA,10,0
10,0,91295,NA,11,0
6,1,29696,NA,2,0
7,1,2871,NA,5,0
8,1,69814,NA,25,0
10,1,70193,NA,15,0
8,1,132000,NA,6,0
10,1,114461,NA,25,0
7,0,140000,NA,16,1
8,0,48333,NA,23,0
10,0,71962,NA,13,0
8,0,330000,NA,24,0
7,1,38666,NA,20,0
8,1,75000,NA,6,0
2,1,12889,NA,3,0
6,1,200000,NA,12,0
8,1,326,NA,4,0
8,1,200000,NA,5,0
7,0,93000,NA,17,1
7,1,155250,NA,10,1
7,1,59073,NA,10,0
3,0,118147,NA,22,0
5,0,95541,NA,34,1
7,1,109039,NA,24,1
4,1,102000,NA,5,1
8,1,107887,NA,6,1
4,1,73036,NA,9,0
8,1,90221,NA,14,0
8,1,150000,NA,17,1
9,0,205000,NA,25,1
7,1,5430,NA,1,0
6,1,81629,NA,11,1
3,1,74874,NA,8,1
8,1,107406,NA,7,0
10,0,76307,NA,37,0
5,1,296,NA,3,0
7,0,130000,NA,7,0
7,0,115874,NA,4,0
6,1,120000,NA,30,0
8,1,64444,NA,11,0
